Personalnummer;Anrede;Vorname;Nachname;Geschlecht;Staatsangehoerigkeit;E-mail;Landercode;Telefon;Strasse;Hausnummer;Plz;Wohnort;Bundesland;Kontoinhaber;Iban;Kreditinstitut;Steueridentifikationsnummer;Steuerklasse;Krankenkasse;Versicherungsnummer;Beginn;Berufsbezeichnung;Abteilung
52;Herr;serdar;sadikoglu;männlich;Turkey;serdar.sadikoglu@student.techstarter.de;Deutschland;5165161562;naberstrasse ;25;89415;lauingen;Bayern;serdars;de666245546551;sparkasse;1566232331;4;barmer;4645321354561;2023-03-13;devops engineer;backend;
001;Herr;Abdurrahman;Yildirim;weiblich;Malta;yildirim.abdurrahman36@gmail.com;Deutschland;01739003445;Berliner Str.;84;xfbfn;teheh;Sachsen;Abdurrahman;zrjhrzjh;Abdurrahman Yildirim;ehtheh;3;rhgrwegh;tdhthbtr;2222-02-02;eth;zjhr;
0012;Herr;Abdurrahman;Yildirim;weiblich;Malta;yildirim.abdurrahman36@gmail.com;Deutschland;01739003445;Berliner Str.;84;xfbfn;teheh;Sachsen;Abdurrahman;zrjhrzjh;Abdurrahman Yildirim;ehtheh;3;rhgrwegh;tdhthbtr;2222-02-02;eth;zjhr;
backup;Herr;Abdurrahman;Yildirim;weiblich;Malta;yildirim.abdurrahman36@gmail.com;Deutschland;01739003445;Berliner Str.;84;xfbfn;teheh;Sachsen;Abdurrahman;zrjhrzjh;Abdurrahman Yildirim;ehtheh;3;rhgrwegh;tdhthbtr;2222-02-02;eth;zjhr;
backup 2;Herr;Abdurrahman;Yildirim;weiblich;Malta;yildirim.abdurrahman36@gmail.com;Deutschland;01739003445;Berliner Str.;84;xfbfn;teheh;Sachsen;Abdurrahman;zrjhrzjh;Abdurrahman Yildirim;ehtheh;3;rhgrwegh;tdhthbtr;2222-02-02;eth;zjhr;
backup son;Herr;Abdurrahman;Yildirim;weiblich;Malta;yildirim.abdurrahman36@gmail.com;Deutschland;01739003445;Berliner Str.;84;xfbfn;teheh;Sachsen;Abdurrahman;zrjhrzjh;Abdurrahman Yildirim;ehtheh;3;rhgrwegh;tdhthbtr;2222-02-02;eth;zjhr;
backup son;Herr;Abdurrahman;Yildirim;weiblich;Malta;yildirim.abdurrahman36@gmail.com;Deutschland;01739003445;Berliner Str.;84;xfbfn;teheh;Sachsen;Abdurrahman;zrjhrzjh;Abdurrahman Yildirim;ehtheh;3;rhgrwegh;tdhthbtr;2222-02-02;eth;zjhr;
22;Frau;mahmut;naber;weiblich;Italy;serdar.sadikoglu@student.techstarter.de;Kolumbien;5165161562;naberstrasse ;52;89415;berlin;Nordrhein-Westfalen;selam;de666245546551;vr-bank;1566232331;4;aok;4645321354561;2023-03-15;sanane;yok;
66;Frau;mahmut;naber;weiblich;Italy;serdar.sadikoglu@student.techstarter.de;Kolumbien;5165161562;naberstrasse ;52;89415;berlin;Nordrhein-Westfalen;selam;de666245546551;vr-bank;1566232331;4;aok;4645321354561;2023-03-15;sanane;yok;
1122;Herr;aaaa;sssss;männlich;Germany;aa@bb.cc;Deutschland;1111111111;aaaaaa;12;11111;aaaaaa;Baden-Württemberg;aaaa sssss;de232323232232;haaahh;21212121211;1;aaa;3232322332;2222-11-22;ddssdd;dsdsds;
